
Epoch 1/15 | LR: 0.001000
--------------------------------------------------
  batch 3350 | loss: 0.1709 | acc: 0.8750
  batch 3400 | loss: 0.1678 | acc: 1.0000
  batch 3450 | loss: 0.0873 | acc: 1.0000
  batch 3500 | loss: 0.2910 | acc: 0.8750
  batch 3550 | loss: 0.0380 | acc: 1.0000
  batch 3600 | loss: 0.3077 | acc: 0.7500
  batch 3650 | loss: 0.1501 | acc: 0.8750
  batch 3700 | loss: 0.0089 | acc: 1.0000
  batch 3750 | loss: 0.1354 | acc: 1.0000
  batch 3800 | loss: 0.2356 | acc: 0.8750
  batch 3850 | loss: 0.1321 | acc: 0.8750
  batch 3900 | loss: 0.0134 | acc: 1.0000
  batch 3950 | loss: 0.3357 | acc: 0.8750
  batch 4000 | loss: 0.1137 | acc: 1.0000
  batch 4050 | loss: 0.9947 | acc: 0.7500
  batch 4100 | loss: 0.1624 | acc: 1.0000
  batch 4150 | loss: 0.1187 | acc: 1.0000
  batch 4200 | loss: 0.0966 | acc: 1.0000
  batch 4250 | loss: 0.0518 | acc: 1.0000
  batch 4300 | loss: 0.2128 | acc: 0.8750
  batch 4350 | loss: 0.0336 | acc: 1.0000
  batch 4400 | loss: 0.0567 | acc: 1.0000
  batch 4450 | loss: 0.0043 | acc: 1.0000
  batch 4500 | loss: 0.3211 | acc: 0.7500
  batch 4550 | loss: 0.0286 | acc: 1.0000
  batch 4600 | loss: 0.5643 | acc: 0.8750
  batch 4650 | loss: 0.0144 | acc: 1.0000
  batch 4700 | loss: 0.5277 | acc: 0.8750
  batch 4750 | loss: 0.1952 | acc: 1.0000
  TRAIN — Loss: 0.1964 | Acc: 0.9214
  VAL   — Loss: 0.1031 | Acc: 0.9595
  ⭐ New best! Saved best.pth (acc=0.9595)

Epoch 5/15 | LR: 0.000065
--------------------------------------------------
  batch 50 | loss: 0.0317 | acc: 1.0000
  batch 100 | loss: 0.1827 | acc: 0.8750
  batch 150 | loss: 0.0346 | acc: 1.0000
  batch 200 | loss: 0.0322 | acc: 1.0000
  batch 250 | loss: 0.0030 | acc: 1.0000
  batch 300 | loss: 0.2781 | acc: 0.8750
  batch 350 | loss: 0.0637 | acc: 1.0000
  batch 400 | loss: 0.2059 | acc: 0.8750
  batch 450 | loss: 0.0050 | acc: 1.0000
  batch 500 | loss: 0.3607 | acc: 0.8750
  batch 550 | loss: 0.1822 | acc: 0.8750
  batch 600 | loss: 0.0736 | acc: 1.0000
  batch 650 | loss: 0.0084 | acc: 1.0000
  batch 700 | loss: 0.0818 | acc: 1.0000
  batch 750 | loss: 0.4924 | acc: 0.8750
  batch 800 | loss: 0.2424 | acc: 0.8750
  batch 850 | loss: 0.5644 | acc: 0.8750
  batch 900 | loss: 0.0144 | acc: 1.0000
  batch 950 | loss: 0.1217 | acc: 1.0000
  batch 1000 | loss: 0.1872 | acc: 0.8750
  batch 1050 | loss: 0.3247 | acc: 0.8750
  batch 1100 | loss: 0.0168 | acc: 1.0000
  batch 1150 | loss: 0.0409 | acc: 1.0000
  batch 1200 | loss: 0.0224 | acc: 1.0000
  batch 1250 | loss: 0.1191 | acc: 1.0000
  batch 1300 | loss: 0.0845 | acc: 1.0000
  batch 1350 | loss: 0.1636 | acc: 0.8750
  batch 1400 | loss: 0.0160 | acc: 1.0000
  batch 1450 | loss: 0.0436 | acc: 1.0000
  batch 1500 | loss: 0.0493 | acc: 1.0000
  batch 1550 | loss: 0.0120 | acc: 1.0000
  batch 1600 | loss: 0.0518 | acc: 1.0000
  batch 1650 | loss: 0.1061 | acc: 0.8750
  batch 1700 | loss: 0.1098 | acc: 1.0000
  batch 1750 | loss: 0.2987 | acc: 0.7500
  batch 1800 | loss: 0.1706 | acc: 1.0000
  batch 1850 | loss: 0.0182 | acc: 1.0000
  batch 1900 | loss: 0.0825 | acc: 1.0000
  batch 1950 | loss: 0.0120 | acc: 1.0000
  batch 2000 | loss: 0.2534 | acc: 0.8750
  batch 2050 | loss: 0.0140 | acc: 1.0000
  batch 2100 | loss: 0.0247 | acc: 1.0000
  batch 2150 | loss: 0.6277 | acc: 0.8750
  batch 2200 | loss: 0.3198 | acc: 0.7500
  batch 2250 | loss: 0.1058 | acc: 1.0000
  batch 2300 | loss: 0.0182 | acc: 1.0000
  batch 2350 | loss: 0.0148 | acc: 1.0000
  batch 2400 | loss: 0.0791 | acc: 1.0000
  batch 2450 | loss: 0.0844 | acc: 1.0000
  batch 2500 | loss: 0.1562 | acc: 0.8750
  batch 2550 | loss: 0.0092 | acc: 1.0000
  batch 2600 | loss: 0.0491 | acc: 1.0000
  batch 2650 | loss: 0.0816 | acc: 1.0000
  batch 2700 | loss: 0.0701 | acc: 1.0000
  batch 2750 | loss: 0.0115 | acc: 1.0000
  batch 2800 | loss: 0.0445 | acc: 1.0000
  batch 2850 | loss: 0.1112 | acc: 1.0000
  batch 2900 | loss: 0.1948 | acc: 0.8750
  batch 2950 | loss: 0.0296 | acc: 1.0000
  batch 3000 | loss: 0.2915 | acc: 0.8750
  batch 3050 | loss: 0.1981 | acc: 1.0000
  batch 3100 | loss: 0.0130 | acc: 1.0000
  batch 3150 | loss: 0.2702 | acc: 0.8750
  batch 3200 | loss: 0.0073 | acc: 1.0000
  batch 3250 | loss: 0.1131 | acc: 1.0000
  batch 3300 | loss: 0.0081 | acc: 1.0000
  batch 3350 | loss: 0.2080 | acc: 0.8750
  batch 3400 | loss: 0.3431 | acc: 0.7500
  batch 3450 | loss: 0.0043 | acc: 1.0000
  batch 3500 | loss: 0.0463 | acc: 1.0000
  batch 3550 | loss: 0.0634 | acc: 1.0000
  batch 3600 | loss: 0.4306 | acc: 0.7500
  batch 3650 | loss: 0.3797 | acc: 0.8750
  batch 3700 | loss: 0.6494 | acc: 0.7500
  batch 3750 | loss: 0.0852 | acc: 1.0000
  batch 3800 | loss: 0.0343 | acc: 1.0000
  batch 3850 | loss: 0.0799 | acc: 1.0000
  batch 3900 | loss: 0.0465 | acc: 1.0000
  batch 3950 | loss: 0.1440 | acc: 0.8750
  batch 4000 | loss: 0.0067 | acc: 1.0000
